Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
MOD. GR A LAL HL,MOD. GR A LAL,HL,73,6.22,0,0,0,1.4,13.7,46.6,38.4,May,2020
MOD. GR A LIT HL,MOD. GR A LIT,HL,29,5.79,0,0,0,13.8,20.7,37.9,27.6,May,2020
MOD. GR A LIT SL,MOD. GR A LIT,SL,302,5.94,0,0,1.3,8.3,21.6,32.2,36.5,May,2020
MONGOLI A LIT HL,MONGOLI A LIT,HL,15,6.53,0,0,0,6.7,6.7,13.3,73.3,May,2020
MONGOLI A LIT SL,MONGOLI A LIT,SL,15,5.79,0,0,0,21.4,7.1,42.9,28.6,May,2020
NEPALI A LIT SL,NEPALI A LIT,SL,36,6.68,0,0,0,2.9,0,23.5,73.5,May,2020
NORWEGI A LAL HL,NORWEGI A LAL,HL,23,6.22,0,0,0,4.3,17.4,30.4,47.8,May,2020
NORWEGI A LAL SL,NORWEGI A LAL,SL,24,6.33,0,0,0,4.2,12.5,29.2,54.2,May,2020
NORWEGI A LIT HL,NORWEGI A LIT,HL,161,5.76,0,0,2.5,13.3,22.2,29.7,32.3,May,2020
NORWEGI A LIT SL,NORWEGI A LIT,SL,163,5.42,0,1.3,6.3,15.7,25.8,27.7,23.3,May,2020
PERSIAN A LIT HL,PERSIAN A LIT,HL,34,4.62,0,2.9,2.9,35.3,47.1,11.8,0,May,2020
PERSIAN A LIT SL,PERSIAN A LIT,SL,55,4.25,0,3.9,25.5,31.4,21.6,15.7,2,May,2020
POLISH A LIT HL,POLISH A LIT,HL,189,5.97,0,0,0.5,7,22.5,34.8,35.3,May,2020
POLISH A LIT SL,POLISH A LIT,SL,961,5.71,0,0,0.7,7.4,32.2,39.8,19.9,May,2020
PORTUGU A LAL HL,PORTUGU A LAL,HL,400,5.66,0,0,0.5,9.5,29.4,44.5,16.1,May,2020
PORTUGU A LAL SL,PORTUGU A LAL,SL,221,5.91,0,0,0,3.6,28.5,41.2,26.7,May,2020
PORTUGU A LIT HL,PORTUGU A LIT,HL,81,5.95,0,0,0,5,20,50,25,May,2020
PORTUGU A LIT SL,PORTUGU A LIT,SL,65,5.76,0,0,0,9.7,25.8,43.5,21,May,2020
ROMANIA A LIT HL,ROMANIA A LIT,HL,13,6.85,0,0,0,0,0,15.4,84.6,May,2020
ROMANIA A LIT SL,ROMANIA A LIT,SL,22,6.76,0,0,0,0,0,23.8,76.2,May,2020
RUSSIAN A LAL HL,RUSSIAN A LAL,HL,62,6.18,0,0,0,6.5,11.3,40.3,41.9,May,2020
RUSSIAN A LAL SL,RUSSIAN A LAL,SL,110,5.97,0,0,0,1.8,24.5,48.2,25.5,May,2020
RUSSIAN A LIT HL,RUSSIAN A LIT,HL,131,5.78,0,0.8,4.6,9.2,22.3,27.7,35.4,May,2020
RUSSIAN A LIT SL,RUSSIAN A LIT,SL,279,5.16,0,1.1,11.4,19.4,26.4,21.6,20.1,May,2020
SERBIAN A LIT HL,SERBIAN A LIT,HL,50,6.34,0,0,0,0,16,34,50,May,2020
SERBIAN A LIT SL,SERBIAN A LIT,SL,35,6.37,0,0,0,2.9,8.6,37.1,51.4,May,2020
SESOTHO A LIT HL,SESOTHO A LIT,HL,12,6.08,0,0,0,0,16.7,58.3,25,May,2020
SLOVAK A LIT SL,SLOVAK A LIT,SL,69,6.36,0,0,0,1.5,16.4,26.9,55.2,May,2020
SLOVENE A LIT HL,SLOVENE A LIT,HL,68,6.5,0,0,0,2.9,2.9,35.3,58.8,May,2020
SPANISH A LAL HL,SPANISH A LAL,HL,3122,5.48,0,0.1,2.8,13.4,32.1,35.4,16.1,May,2020
SPANISH A LAL SL,SPANISH A LAL,SL,1334,5.32,0,1.1,6.8,16.6,28.8,27.8,19,May,2020
SPANISH A LIT HL,SPANISH A LIT,HL,6013,4.74,0,1.3,10.9,29.5,34.8,18.1,5.4,May,2020
SPANISH A LIT SL,SPANISH A LIT,SL,627,5.24,0,0,5.8,18.8,34.7,27.3,13.3,May,2020
SWAHILI A LIT HL,SWAHILI A LIT,HL,13,6.15,0,0,0,0,0,84.6,15.4,May,2020
SWAHILI A LIT SL,SWAHILI A LIT,SL,25,6.12,0,0,0,0,20,48,32,May,2020
SWEDISH A LAL HL,SWEDISH A LAL,HL,71,5.54,0,0,1.4,12.9,31.4,38.6,15.7,May,2020
SWEDISH A LAL SL,SWEDISH A LAL,SL,151,5.47,0,0,0.7,13.3,36,38,12,May,2020
SWEDISH A LIT HL,SWEDISH A LIT,HL,108,5.63,0,0,2.8,14.8,19.4,42.6,20.4,May,2020
SWEDISH A LIT SL,SWEDISH A LIT,SL,197,5.66,0,0.5,2.6,10.3,25.8,38.1,22.7,May,2020
THAI A LAL HL,THAI A LAL,HL,34,6.09,0,0,0,2.9,17.6,47.1,32.4,May,2020
THAI A LAL SL,THAI A LAL,SL,176,6.28,0,0,0,2.3,14.2,36.4,47.2,May,2020
THAI A LIT SL,THAI A LIT,SL,31,5.07,0,0,3.3,36.7,23.3,23.3,13.3,May,2020
TURKISH A LIT HL,TURKISH A LIT,HL,387,5.83,0,0.3,1,9.9,24.9,32.2,31.7,May,2020
TURKISH A LIT SL,TURKISH A LIT,SL,461,6.03,0,0.2,2.2,3.5,21.4,33.8,38.9,May,2020
UKRAINI A LIT SL,UKRAINI A LIT,SL,12,6,0,0,0,0,33.3,33.3,33.3,May,2020
URDU A LIT HL,URDU A LIT,HL,16,6.63,0,0,0,0,6.3,25,68.8,May,2020
URDU A LIT SL,URDU A LIT,SL,43,6.35,0,0,0,0,11.6,41.9,46.5,May,2020
VIETNAM A LIT HL,VIETNAM A LIT,HL,64,5.98,0,0,0,0,17.2,67.2,15.6,May,2020
ARABIC AB. SL,ARABIC AB.,SL,317,5.18,0.3,1.6,9.5,17.8,25.4,30.2,15.2,May,2020
ARABIC B HL,ARABIC B,HL,1006,6.11,0,0,0.1,4.3,16.7,41.9,37,May,2020
ARABIC B SL,ARABIC B,SL,679,5.73,0,0.1,1.6,8.6,22.5,48.6,18.5,May,2020
CHINESE B HL,CHINESE B,HL,929,6.35,0,0,0.2,2.2,8.5,40.9,48.2,May,2020
CHINESE B SL,CHINESE B,SL,2643,6.08,0,0.4,2.7,5.7,14.9,31.9,44.4,May,2020
CLASS.GREEK HL,CLASS.GREEK,HL,15,6.67,0,0,0,0,6.7,20,73.3,May,2020
CLASS.GREEK SL,CLASS.GREEK,SL,20,5.6,0,5,5,10,20,25,35,May,2020
