Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
ALBANIA A LIT HL,ALBANIA A LIT,HL,33,6.52,0,0,0,3,0,39.4,57.6,May,2019
ALBANIA A LIT SL,ALBANIA A LIT,SL,43,6.33,0,0,0,2.3,7,46.5,44.2,May,2019
AMHARIC A LIT HL,AMHARIC A LIT,HL,19,6.26,0,0,0,0,21.1,31.6,47.4,May,2019
AMHARIC A LIT SL,AMHARIC A LIT,SL,33,6.09,0,0,0,6.1,15.2,42.4,36.4,May,2019
ARABIC A LAL HL,ARABIC A LAL,HL,129,5.38,0,0,3.6,9,38.7,43.2,5.4,May,2019
ARABIC A LAL SL,ARABIC A LAL,SL,357,5.35,0,0,0.8,12.4,44.5,35.8,6.5,May,2019
ARABIC A LIT HL,ARABIC A LIT,HL,54,5.13,0,0,3.7,25.9,33.3,27.8,9.3,May,2019
ARABIC A LIT SL,ARABIC A LIT,SL,341,5.09,0.3,1.8,6.5,24,25.2,32,10.1,May,2019
ARMENIA A LIT SL,ARMENIA A LIT,SL,29,6.14,0,0,0,6.9,13.8,37.9,41.4,May,2019
AZERBAI A LIT HL,AZERBAI A LIT,HL,19,6.63,0,0,0,0,0,36.8,63.2,May,2019
BENGALI A LIT HL,BENGALI A LIT,HL,10,5.9,0,0,0,10,10,60,20,May,2019
BENGALI A LIT SL,BENGALI A LIT,SL,23,5.96,0,0,0,4.3,17.4,56.5,21.7,May,2019
BOSNIAN A LIT HL,BOSNIAN A LIT,HL,53,6.06,0,0,0,0,17.3,59.6,23.1,May,2019
BULGARI A LIT HL,BULGARI A LIT,HL,32,6.31,0,0,0,0,6.3,56.3,37.5,May,2019
BULGARI A LIT SL,BULGARI A LIT,SL,23,6.23,0,0,0,0,9.1,59.1,31.8,May,2019
BURMESE A LIT SL,BURMESE A LIT,SL,14,6,0,0,0,7.1,28.6,21.4,42.9,May,2019
CATALAN A LIT HL,CATALAN A LIT,HL,141,6.14,0,0,0,1.4,15.2,50.7,32.6,May,2019
CATALAN A LIT SL,CATALAN A LIT,SL,43,5.46,0,0,0,15.4,33.3,41,10.3,May,2019
CHINESE A LAL HL,CHINESE A LAL,HL,678,5.68,0,0,0.4,5.9,31.1,50.5,12,May,2019
CHINESE A LAL SL,CHINESE A LAL,SL,1458,5.78,0,0.1,0.6,3.9,26.3,54.4,14.7,May,2019
CHINESE A LIT HL,CHINESE A LIT,HL,538,5.45,0,0,0.2,10.5,42.3,38.2,8.8,May,2019
CHINESE A LIT SL,CHINESE A LIT,SL,1469,5.39,0,0,0.9,8.4,44.8,42.5,3.4,May,2019
CROATIA A LIT HL,CROATIA A LIT,HL,58,5.34,0,0,0,25.9,31,25.9,17.2,May,2019
CROATIA A LIT SL,CROATIA A LIT,SL,25,5.64,0,0,0,4,36,52,8,May,2019
CZECH A LIT HL,CZECH A LIT,HL,65,5.67,0,0,1.6,9.4,26.6,45.3,17.2,May,2019
CZECH A LIT SL,CZECH A LIT,SL,64,5.69,0,0,1.6,12.5,31.3,25,29.7,May,2019
DANISH A LIT HL,DANISH A LIT,HL,170,5.57,0,0,0,14.9,29.8,39.3,16.1,May,2019
DANISH A LIT SL,DANISH A LIT,SL,133,5.81,0,0,1.5,10.8,23.8,33.1,30.8,May,2019
DUTCH A LAL HL,DUTCH A LAL,HL,106,5.25,0,0,1,19.2,38.5,36.5,4.8,May,2019
DUTCH A LAL SL,DUTCH A LAL,SL,204,5.25,0,0,3.4,19.6,34.3,34.3,8.3,May,2019
DUTCH A LIT SL,DUTCH A LIT,SL,151,5.11,0.7,0.7,4,15.2,46.4,27.8,5.3,May,2019
ENGLISH A LAL HL,ENGLISH A LAL,HL,27885,4.98,0,0.5,5.8,25.4,37.5,25.4,5.3,May,2019
ENGLISH A LAL SL,ENGLISH A LAL,SL,17185,5.1,0,0.3,4,20.9,39.1,31.5,4.1,May,2019
ENGLISH A LIT HL,ENGLISH A LIT,HL,39246,4.68,0,1.5,8.9,31.4,39.4,16.2,2.6,May,2019
ENGLISH A LIT SL,ENGLISH A LIT,SL,6506,5.02,0,0.8,5.8,22.8,38.1,26.4,6.2,May,2019
ESTONIA A LIT HL,ESTONIA A LIT,HL,15,6.6,0,0,0,0,6.7,26.7,66.7,May,2019
ESTONIA A LIT SL,ESTONIA A LIT,SL,19,6.32,0,0,5.3,0,10.5,26.3,57.9,May,2019
FILIPIN A LIT HL,FILIPIN A LIT,HL,17,5.29,0,0,11.8,5.9,29.4,47.1,5.9,May,2019
FILIPIN A LIT SL,FILIPIN A LIT,SL,63,5.08,0,1.6,12.9,17.7,24.2,30.6,12.9,May,2019
FINNISH A LIT HL,FINNISH A LIT,HL,163,5.3,0,0,1.9,13,44.1,34.8,6.2,May,2019
FINNISH A LIT SL,FINNISH A LIT,SL,175,5.37,0,0,0.6,20.5,31,36.8,11.1,May,2019
FRENCH A LAL HL,FRENCH A LAL,HL,450,5.11,0,0,2,23.3,41.7,27.1,5.8,May,2019
FRENCH A LAL SL,FRENCH A LAL,SL,524,5.33,0,0,1,17.5,36.5,37.6,7.5,May,2019
FRENCH A LIT HL,FRENCH A LIT,HL,485,5.21,0,0,4.2,19.6,37.4,28.8,10,May,2019
FRENCH A LIT SL,FRENCH A LIT,SL,272,5.1,0,0.4,4.5,22.7,37.9,26.8,7.8,May,2019
